shift_id,turno_display,inicio,fin,colacion_min
LIBRE,LIBRE,,,
S_0730_1430_60,07:30–14:30,07:30,14:30,60.0
S_0730_1500_60,07:30–15:00,07:30,15:00,60.0
S_0730_1600_60,07:30–16:00,07:30,16:00,60.0
S_0730_1630_60,07:30–16:30,07:30,16:30,60.0
S_0730_1730_60,07:30–17:30,07:30,17:30,60.0
S_0800-1430_60,S_0800-1430_60,,,
S_0830_1730_60,08:30–17:30,08:30,17:30,60.0
S_1130_2130_60,11:30–21:30,11:30,21:30,60.0
S_1230_2130_60,12:30–21:30,12:30,21:30,60.0
S_1430_2130_60,14:30–21:30,14:30,21:30,60.0
