org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,MANANA,1260,1260,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,NOCHE,330,330,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1380,1380,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,MANANA,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,NOCHE,360,360,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1170,1170,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,MANANA,990,990,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,NOCHE,540,540,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,INTERMEDIO,3540,3540,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,MANANA,2070,2070,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,NOCHE,2250,2250,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,INTERMEDIO,3450,3450,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,MANANA,2040,2040,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,NOCHE,2190,2190,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,INTERMEDIO,3450,3450,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,MANANA,1560,1560,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,NOCHE,2790,2790,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,INTERMEDIO,3480,3480,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,MANANA,2160,2160,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,NOCHE,2340,2340,0,0,100.0
