etapa,status,objective
1_demanda,FEASIBLE,8755491000094.0
2a_contrato_short,FEASIBLE,0.0
etapa2a_contrato_deep,FEASIBLE,0.0
2b_contrato_min,SKIPPED,
2c_turnos_cortos,UNKNOWN,
3_resto,UNKNOWN,
usada,etapa2a_contrato_deep,
