etapa,status,objective
1_demanda,FEASIBLE,14471680000380.0
2a_contrato_short,FEASIBLE,127201.0
etapa2a_contrato_deep,FEASIBLE,127201.0
2b_contrato_min,SKIPPED,
2c_turnos_cortos,SKIPPED,
3_resto,UNKNOWN,
usada,etapa2a_contrato_deep,
